"esn","dist","flight_cycle","t50_max","nc_avg","ps30_max","nrc_max","bpr_max","w32_avg","rul"
999132,131263.533341168,145,1410.86,9074.92048275862,47.51,8177.28,8.4811,23.3916951724138,48
999133,25590.3131912017,50,1414.945,9057.8108,47.85,8142.69,8.4885,23.294174,151
999134,209021.641498206,203,1421.475,9061.60349753695,48.23,8154.1,8.5158,23.3503339901478,7
999135,237954.196084878,198,1420.32,9059.33742424242,48.26,8159.31,8.5375,23.2554106060606,11
999136,96094.338242738,126,1419.155,9060.12285714286,48.06,8143.86,8.5259,23.2409277777778,19
999137,148176.378219269,121,1413.985,9051.40900826446,47.77,8144.73,8.4944,23.3534132231405,21
999138,114349.271375528,125,1416,9059.35656,47.97,8160.76,8.5116,23.2596216,50
999139,27575.7037714871,37,1406.96,9058.51135135135,47.45,8147.69,8.465,23.3926702702703,167
999140,78617.5059915386,133,1416.18,9058.52609022556,47.98,8148.97,8.5032,23.2586233082707,28
999141,137818.833208299,123,1415.535,9046.79585365854,47.92,8141.67,8.506,23.3627430894309,18
999142,172915.3279107,156,1417.685,9046.16474358974,47.99,8139.67,8.5108,23.3373185897436,10
999143,92786.8460373185,172,1414.2,9051.72517441861,47.85,8141.74,8.4827,23.3319180232558,63
999144,50193.9677940518,54,1412.645,9053.8337037037,47.7,8139.5,8.4878,23.3375740740741,150
999145,105966.126250813,152,1414.24,9061.65822368421,47.86,8150.33,8.4994,23.2886368421053,110
999146,196546.083688994,146,1415.4,9069.70616438356,47.86,8160.98,8.4978,23.3054787671233,47
999147,55103.5164010012,73,1414.09,9042.94315068493,47.87,8128.53,8.5047,23.2824712328767,131
999148,92124.9856363181,78,1412.06,9055.70743589744,47.7,8145.5,8.4677,23.3378858974359,86
999149,212320.273226252,303,1418.845,9059.41181518152,48.11,8150.98,8.5359,23.3471943894389,21
999150,17289.9819027375,74,1410.615,9061.35932432432,47.7,8151.05,8.4719,23.3687202702703,108
999151,94147.2524579409,144,1413.195,9049.36277777778,47.67,8138.55,8.4776,23.3375298611111,134
999152,137057.576687302,189,1412.335,9065.23391534392,47.74,8193.31,8.5032,23.401235978836,29
999153,99423.681082658,164,1414.885,9065.40134146342,47.85,8180.97,8.5041,23.3442493902439,26
999154,88623.369757441,121,1410.18,9057.21256198347,47.42,8152.44,8.4594,23.4174768595041,124
999155,56318.0473016339,113,1412.285,9055.51849557522,47.58,8146.46,8.4697,23.3610389380531,122
999156,156153.048653969,136,1419.925,9044.52698529412,48.18,8130.33,8.5235,23.2441617647059,15
999157,170511.722948396,160,1413.775,9049.459125,47.7,8138.71,8.4964,23.31858,134
999158,196441.108232648,176,1415.635,9050.15710227273,47.84,8138.61,8.5051,23.3316772727273,37
999159,117433.014693408,94,1410.085,9056.07617021277,47.45,8146.21,8.461,23.4150808510638,119
999160,100854.353189694,147,1413.665,9054.12340136054,47.68,8142.73,8.4941,23.3201959183673,109
999161,153817.904647074,159,1417.15,9067.11867924528,47.96,8157.79,8.4934,23.352065408805,21
999162,124003.492037544,232,1413.105,9062.13806034483,47.68,8175.31,8.4712,23.3893685344828,57
999163,105440.94312527,155,1415.365,9050.05303225807,47.82,8141.08,8.516,23.3019561290323,86
999164,101071.413183391,168,1415.905,9057.58273809524,47.93,8145.63,8.5205,23.3256583333333,28
999165,42281.9324252978,71,1405.01,9066.78943661972,47.39,8158.27,8.4455,23.4159704225352,123
999166,172993.173105709,147,1418.405,9074.85775510204,48.06,8197.69,8.5254,23.2851639455782,14
999167,80161.8902117413,71,1410.215,9059.63253521127,47.52,8147.28,8.4667,23.3591971830986,94
999168,123403.894209924,187,1419.575,9061.90401069519,48.1,8162.69,8.5252,23.3061935828877,8
999169,24247.6038162212,54,1410.605,9047.97796296296,47.65,8136.33,8.4642,23.3292462962963,162
999170,165558.605228234,152,1413.08,9050.34526315789,47.78,8141.69,8.4842,23.3294835526316,120
999171,78803.1771829714,68,1409.82,9066.90426470588,47.49,8154.78,8.4527,23.3884838235294,130
999172,76373.0111322604,131,1412.045,9064.16877862595,47.69,8152.99,8.4702,23.3627183206107,50
999173,45223.0332658304,112,1409.56,9052.94375,47.54,8143.26,8.4538,23.3944857142857,169
999174,191421.412668568,137,1412.355,9059.9497810219,47.75,8148.28,8.4869,23.3151905109489,131
999175,73187.0953012639,88,1412.07,9058.45409090909,47.72,8148.94,8.4601,23.3628,123
999176,NA,205,1421.145,9068.83073170732,48.09,8184.21,8.5278,23.3342004878049,10
999177,146761.183239816,162,1415.355,9050.08135802469,47.91,8139.14,8.5056,23.3357814814815,34
999178,47831.6385593284,72,1405.26,9060.99319444445,47.4,8153.99,8.4391,23.4426375,167
999179,47037.135386991,101,1412.1,9048.65673267327,47.66,8138.92,8.4631,23.360998019802,73
999180,145180.859506019,133,1413.29,9064.45458646616,47.72,8151.45,8.4854,23.3359323308271,87
999181,141168.637683183,213,1420.425,9070.24600938967,48.13,8157.83,8.5205,23.3066309859155,8
999182,90495.6367489552,162,1418.845,9061.94450617284,48.2,8154.09,8.5272,23.3106901234568,9
999183,42542.702113259,73,1410.37,9057.73136986301,47.59,8144.47,8.4695,23.3613493150685,122
999184,199733.742671432,172,1415.07,9054.56994186047,47.84,8143.4,8.5001,23.3071406976744,63
999185,27161.7678302968,34,1411.815,9049.745,47.73,8134.62,8.4711,23.2980617647059,122
999186,82450.8682979928,110,1412.885,9061.12136363636,47.68,8149.5,8.4643,23.3346072727273,80
999187,47126.9215646899,56,1407.92,9060.75571428571,47.45,8150.5,8.4608,23.3983214285714,131
999188,28440.7520594954,68,1415.34,9041.16720588235,47.83,8131.27,8.5013,23.3018455882353,152
999189,186942.344497314,177,1412.775,9046.81920903955,47.72,8137.42,8.4966,23.3250338983051,170
999190,82972.0896798257,146,1417.31,9060.51643835616,48.06,8158.94,8.4984,23.2954732876712,28
999191,201600.865280139,234,1418.475,9049.45777777778,48.03,8137.1,8.534,23.2499354700855,38
999192,164484.535540204,150,1417.155,9042.65033333333,48.16,8132.1,8.5374,23.2555886666667,20
999193,168409.481076681,244,1416.965,9063.00692622951,47.95,8156.98,8.5153,23.2637913934426,97
999194,86288.9977582455,133,1415.47,9058.07187969925,47.81,8148.26,8.5167,23.2864616541353,58
999195,87502.2191630302,89,1410.755,9047.83382022472,47.62,8136.1,8.4504,23.368708988764,141
999196,113042.724388169,97,1411.12,9067.27515463918,47.51,8157.69,8.4437,23.3984175257732,193
999197,75124.8942849616,134,1410.46,9068.85574626866,47.59,8158.3,8.4779,23.3793298507463,95
999198,106613.639417343,121,1413.655,9060.91570247934,47.71,8149.39,8.5143,23.321926446281,63
999199,64574.5408926445,97,1405.71,9062.57505154639,47.39,8160.62,8.4499,23.4109381443299,143
999200,107992.886416244,198,1417.495,9074.22545454545,47.84,8220.48,8.5022,23.3558176767677,20
